Column 1,Column 2,CHEMBL ID,PubChem CID
1,O=C(C(NCCC1=CC=CC=C1)=CN2)NC2=O,CHEMBL1576416,309182
2,CC(NC1=CC=C(C2=CSC(N)=N2)C=C1)=O,,519881
3,NC(C)C1=CN(C2=CC=CC=C2)N=N1,,71756187
4,O=C(NC1=CC=CC=C1)NC2=CC=CN=C2,CHEMBL1412642,674807
5,O=C(C)N1CCN(C2=CC=C(Cl)C=C2)CC1,,258327
6,CCC1=CC=C(C2=C(C)SC(N)=N2)C=C1,CHEMBL1507542,854786
7,O=C(CC1CCCCC1)NC2=CN=CC=C2,,1072430
8,ClC1=C(Cl)C=CC(N2N=NC(CO)=C2)=C1,CHEMBL1823290,1475797
9,FC(F)(F)OC1=CC=C(NC(N)=S)C=C1,,2777352
10,CC(C(N)=O)OC1=CC=C(C=C1)C#N,,43082989
11,CC(C)(C)NC(CN1C=CC(C(F)(F)F)=N1)=O,,2809211
12,CN1N=CC(C(NCC2CCC2)=O)=C1C,,33381566
13,C1(NC(NCC2=CC=CO2)=N3)=C3C=CC=C1,,923826
14,OCC(C)(C)NC(NC1=CC=C(Cl)C=C1)=O,,853712
15,CC1=NN(C)C(C)=C1NS(C2=CC(F)=CC=C2)(=O)=O,,3311120
16,CNC(C1=C(C)ON=C1C2=CC=C(F)C=C2)=O,,339623
17,O=C(NC1=CC=NC=C1)NC2=CC=C(OC)C=C2,CHEMBL274733,694486
18,OCC(C)(C)NC(C1=CC(Cl)=CC=C1)=O,,978238
19,CC(NC1=C(F)C=C(OC(F)F)C=C1)=O,,126772148
20,O=C(NC)C1=C(NC(C2=CC=CO2)=O)C=CC=C1,CHEMBL1409566,1081843
21,FC1=CC=CC=C1C2=CN3C=CSC3=N2,CHEMBL1910341,3528662
22,O=C(C)NC1=CC=C(C(F)(F)F)C=C1,CHEMBL4063315,67685
23,CC1=CN2C(C(O)=N1)=CC(C(F)(F)F)=C2,,56587779
24,ClC1=C2NC=NC2=CC(C(F)(F)F)=C1,,2736676
25,FC1=C2C=CC=NC2=C(O)C=C1,CHEMBL1300410,217907
26,NC1=CC(C2=CC=C(C(F)(F)F)C=C2)=NO1,,12960072
27,O=C(C1=CC=C(F)C=C1)C2=CC=C(N)C=C2,,577826
28,FC(F)(F)C1=CC=C(C2=C1)OCC(N2)=O,,604828
29,FC1=CC(F)=CC(C2=CC=NO2)=C1,,40427472
30,ClC1=CC=CC(C2=NC(C(O)=O)=CS2)=C1Cl,,2743987
31,NC1=CC(CC(C(OC)=O)S2)=C2C=C1,,88990209
